unit,duration,partner,age,geo\time	2012 	2013 	2014 	2015 	2016 	2017 
NR,N_GE1,WORLD,Y_GE65,HR	203863 	213149 	247986 	152039 b	160173 	: 
NR,N_GE1,WORLD,Y_GE65,HU	636742 	637886 	652211 	702879 	828535 	: 
NR,N_GE1,WORLD,Y_GE65,IE	353818 	348800 	375277 	377693 	396677 	440204 
NR,N_GE1,WORLD,Y_GE65,IT	2991230 	2622409 	3200752 b	3692227 	3334799 	: 
NR,N_GE1,WORLD,Y_GE65,LT	128008 	134314 	136498 	136689 	123873 	: 
NR,N_GE1,WORLD,Y_GE65,LU	41709 	47675 	51351 	51391 	54476 	: 
NR,N_GE1,WORLD,Y_GE65,LV	97348 	86014 	92938 	109073 	108664 	: 
NR,N_GE1,WORLD,Y_GE65,ME	: 	: 	: 	: 	: c	: 
NR,N_GE1,WORLD,Y_GE65,MT	18522 	23897 	22565 	23053 	26953 	: 
NR,N_GE1,WORLD,Y_GE65,NL	1907378 	1986141 	2056757 	2168499 	2303710 	: 
NR,N_GE1,WORLD,Y_GE65,NO	: 	468830 	: 	: 	: 	: 
NR,N_GE1,WORLD,Y_GE65,PL	1100000 	1330000 	2122477 	2225417 	2421239 	: 
NR,N_GE1,WORLD,Y_GE65,PT	539844 	583134 	621682 	678806 	679957 	: 
NR,N_GE1,WORLD,Y_GE65,RO	390044 	386150 	418237 	455030 	397620 	: 
NR,N_GE1,WORLD,Y_GE65,SE	: u	: 	1608680 	1537787 	1529007 	: 
NR,N_GE1,WORLD,Y_GE65,SI	113087 	107013 e	111170 e	133862 u	141304 	: 
NR,N_GE1,WORLD,Y_GE65,SK	194927 	211628 b	229835 	201606 	304351 	: 
NR,N_GE1,WORLD,Y_GE65,UK	6553000 	6707000 	6311800 	7304500 	6358140 	: 
NR,N_GE1,WORLD,Y_LT15,CH	: 	: 	698839 	699462 	710391 	: 
NR,N_GE1,WORLD,Y_LT15,ES	: 	: 	4327875 	: b	: 	: 
NR,N_GE1,WORLD,Y_LT15,HR	: 	: 	: 	: b	: 	: 
NR,N_GE1,WORLD,Y_LT15,HU	: 	: 	825733 	858217 	857366 	: 
NR,N_GE1,WORLD,Y_LT15,IT	5735630 	5018000 	3592384 b	4258764 	4199563 	: 
